location,in_time,per change,abs change,avg,standard dev,main hr count
ca,2012-07-27 21:00:00,36.4813534438,10684.75,29288.25,7786.65571266,39973
ca,2012-08-12 22:00:00,75.5240137885,20731.625,27450.375,4756.42373369,48182
ca,2012-07-27 09:00:00,8.87731775464,699.0,7874.0,485.434444596,8573
ca,2012-08-13 03:00:00,114.813716319,16774.6666667,14610.3333333,12742.7184785,31385
ca,2012-08-03 03:00:00,115.670664881,16886.8888889,14599.1111111,12727.8873646,31486
ca,2012-08-11 08:00:00,4.96296004413,503.8,10151.2,465.687620621,10655
ca,2012-08-03 06:00:00,34.3173171763,4871.0,14194.0,4281.37340114,19065
ca,2012-08-10 09:00:00,12.2533470911,961.9,7850.1,442.663630763,8812
pa,2012-08-11 03:00:00,90.7187790038,8797.0,9697.0,8359.58284446,18494
pa,2012-08-10 08:00:00,7.19960765081,734.0,10195.0,581.233687943,10929
pa,2012-08-03 19:00:00,7.90092974808,1365.33333333,17280.6666667,1066.04398492,18646
pa,2012-07-27 14:00:00,8.36361231331,2023.3,24191.7,1402.50069875,26215
pa,2012-07-28 00:00:00,10.3582352636,1998.0,19289.0,1826.38967638,21287
pa,2012-07-27 23:00:00,22.2140549622,4495.375,20236.625,2485.17438712,24732
pa,2012-08-10 17:00:00,7.66166569245,1415.6,18476.4,1034.59414265,19892
pa,2012-08-03 04:00:00,225.897299556,10813.9090909,4787.09090909,6342.9708476,15601
pa,2012-07-27 11:00:00,12.2417436836,1940.5,15851.5,1855.36536833,17792
pa,2012-07-31 00:00:00,16.1527625607,3096.0,19167.0,1647.49241273,22263
pa,2012-08-10 05:00:00,162.885025923,6943.3,4262.7,5154.66903011,11206
pa,2012-07-27 19:00:00,7.78429254745,1345.33333333,17282.6666667,1068.58369401,18628
pa,2012-08-12 20:00:00,34.749176126,6643.0,19117.0,3255.80005529,25760
pa,2012-07-27 08:00:00,10.8388442765,1101.4,10161.6,525.861426614,11263
pa,2012-08-10 04:00:00,193.894220952,9495.0,4897.0,6516.5491565,14392
pa,2012-08-03 05:00:00,196.868224524,8172.0,4151.0,4988.20947836,12323
pa,2012-07-28 06:00:00,31.1445341159,2547.0,8178.0,2135.5908316,10725
pa,2012-07-27 17:00:00,6.51181902723,1204.4,18495.6,1058.62601517,19700
pa,2012-08-10 06:00:00,28.0134622654,2297.3,8200.7,2161.18342812,10498
pa,2012-07-28 03:00:00,102.147786217,9802.55555556,9596.44444444,8246.9592391,19399
pa,2012-08-11 15:00:00,25.404883385,5945.2,23401.8,1098.59572182,29347
pa,2012-08-03 13:00:00,6.73001367169,1481.7,22016.3,1421.02561905,23498
pa,2012-07-27 07:00:00,11.1793486049,1092.2,9769.8,485.552015751,10862
pa,2012-08-01 09:00:00,11.2201892317,1325.8,11816.2,1017.30878302,13142
pa,2012-08-11 16:00:00,12.23213984,2533.9,20715.1,714.989853075,23249
pa,2012-08-12 21:00:00,57.2228366445,12482.375,21813.625,3405.19955133,34296
pa,2012-08-12 23:00:00,22.1058352685,4474.0,20239.0,2489.4565672,24713
pa,2012-07-27 22:00:00,35.8251242263,8219.0,22942.0,6229.60309731,31161
pa,2012-08-13 01:00:00,22.7074636775,4018.625,17697.375,2766.63942977,21716
pa,2012-08-03 01:00:00,18.0581323438,3212.0,17787.0,2881.37788219,20999
pa,2012-07-27 12:00:00,8.97331576433,1709.3,19048.7,1609.73221686,20758
pa,2012-08-12 05:00:00,206.848250916,8520.7,4119.3,4934.88350521,12640
pa,2012-07-30 18:00:00,11.3372232627,1888.6,16658.4,1667.87674605,18547
pa,2012-08-01 11:00:00,15.5281939664,2454.2,15804.8,1799.20764783,18259
pa,2012-07-27 20:00:00,39.3826699205,7495.22222222,19031.7777778,3065.18242262,26527
pa,2012-08-11 04:00:00,212.272881165,10259.7272727,4833.27272727,6419.22877116,15093
pa,2012-08-01 12:00:00,10.3898151847,1976.6,19024.4,1581.66698138,21001
pa,2012-08-12 14:00:00,12.8164051314,3088.1,24094.9,1213.35266514,27183
pa,2012-08-12 04:00:00,226.086873944,10821.5454545,4786.45454545,6341.88545758,15608
pa,2012-07-27 10:00:00,15.6668387791,2154.3,13750.7,1517.95876426,15905
pa,2012-08-11 05:00:00,166.748241052,7086.3,4249.7,5136.94734351,11336
pa,2012-08-01 17:00:00,6.07526387755,1124.1,18502.9,1066.62415592,19627
pa,2012-08-01 13:00:00,7.68090774364,1689.6,21997.4,1399.77721084,23687
